run_id,entity_id,amenity
80c248dd5eb3,0901a08cf769286a475b4060,Nhà hàng - Ẩm thực
80c248dd5eb3,0901a08cf769286a475b4060,Phòng tập thể dục
80c248dd5eb3,0901a08cf769286a475b4060,Quán Bar
80c248dd5eb3,0901a08cf769286a475b4060,Quầy đặt tour du lịch
80c248dd5eb3,0901a08cf769286a475b4060,Spa/Massage
80c248dd5eb3,0901a08cf769286a475b4060,Thang máy
80c248dd5eb3,0901a08cf769286a475b4060,Đưa đón Sân bay
80c248dd5eb3,0999f5b11e5432190dd27d2f,Bãi biển riêng
80c248dd5eb3,0999f5b11e5432190dd27d2f,Bể bơi ngoài trời
80c248dd5eb3,0999f5b11e5432190dd27d2f,Wifi miễn phí
80c248dd5eb3,0999f5b11e5432190dd27d2f,Bàn làm việc
80c248dd5eb3,0999f5b11e5432190dd27d2f,Bồn tắm và vòi sen
80c248dd5eb3,0999f5b11e5432190dd27d2f,Chỗ đỗ xe
80c248dd5eb3,0999f5b11e5432190dd27d2f,Dịch vụ trông trẻ
80c248dd5eb3,0999f5b11e5432190dd27d2f,Giặt là quần áo
80c248dd5eb3,0999f5b11e5432190dd27d2f,Karaoke
80c248dd5eb3,0999f5b11e5432190dd27d2f,Lễ tân phục vụ 24h
80c248dd5eb3,0999f5b11e5432190dd27d2f,Máy lạnh
80c248dd5eb3,0999f5b11e5432190dd27d2f,Nhà hàng - Ẩm thực
80c248dd5eb3,0999f5b11e5432190dd27d2f,Phòng tắm
80c248dd5eb3,0999f5b11e5432190dd27d2f,Phòng tập thể dục
80c248dd5eb3,0999f5b11e5432190dd27d2f,Quán Bar
80c248dd5eb3,0999f5b11e5432190dd27d2f,Quầy đặt tour du lịch
80c248dd5eb3,0999f5b11e5432190dd27d2f,Spa
80c248dd5eb3,0999f5b11e5432190dd27d2f,Spa/Massage
80c248dd5eb3,0999f5b11e5432190dd27d2f,Thang máy
80c248dd5eb3,0999f5b11e5432190dd27d2f,Wifi
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Bể bơi ngoài trời
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Wifi miễn phí
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Ăn sáng miễn phí
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Cho thuê xe
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Chỗ đỗ xe
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Dịch vụ hội họp
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Giặt là quần áo
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Karaoke
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Quầy Hàng Lưu Niệm
80c248dd5eb3,0a6ec47f2855cd5c1dbde47d,Quầy đặt tour du lịch
80c248dd5eb3,0a99d190a9884de80d284bf7,Bể bơi ngoài trời
80c248dd5eb3,0a99d190a9884de80d284bf7,Chỗ đỗ xe
80c248dd5eb3,0a99d190a9884de80d284bf7,Khu vực vui chơi trẻ em
80c248dd5eb3,118c5319a6f25153aae34646,Bãi biển riêng
80c248dd5eb3,118c5319a6f25153aae34646,Bể bơi ngoài trời
80c248dd5eb3,118c5319a6f25153aae34646,Wifi miễn phí
80c248dd5eb3,118c5319a6f25153aae34646,Ăn sáng miễn phí
80c248dd5eb3,118c5319a6f25153aae34646,Cho thuê xe
80c248dd5eb3,118c5319a6f25153aae34646,Chỗ đỗ xe
80c248dd5eb3,118c5319a6f25153aae34646,Giặt là quần áo
80c248dd5eb3,118c5319a6f25153aae34646,Karaoke
80c248dd5eb3,118c5319a6f25153aae34646,Lễ tân phục vụ 24h
80c248dd5eb3,118c5319a6f25153aae34646,Nhà hàng - Ẩm thực
80c248dd5eb3,118c5319a6f25153aae34646,Phòng tập thể dục
80c248dd5eb3,118c5319a6f25153aae34646,Phòng Xông Hơi
80c248dd5eb3,118c5319a6f25153aae34646,Quán Bar
80c248dd5eb3,118c5319a6f25153aae34646,Quầy Billard
80c248dd5eb3,118c5319a6f25153aae34646,Quầy Hàng Lưu Niệm
80c248dd5eb3,118c5319a6f25153aae34646,Quầy đặt tour du lịch
80c248dd5eb3,118c5319a6f25153aae34646,Spa
80c248dd5eb3,118c5319a6f25153aae34646,Spa/Massage
80c248dd5eb3,118c5319a6f25153aae34646,Thang máy
80c248dd5eb3,118c5319a6f25153aae34646,Đưa đón Sân bay
80c248dd5eb3,12303701fbed7b3ba95c93cb,Bể bơi ngoài trời
80c248dd5eb3,12303701fbed7b3ba95c93cb,Wifi miễn phí
80c248dd5eb3,12303701fbed7b3ba95c93cb,Ăn sáng miễn phí
80c248dd5eb3,12303701fbed7b3ba95c93cb,Dịch vụ hội họp
80c248dd5eb3,12303701fbed7b3ba95c93cb,Giặt là quần áo
80c248dd5eb3,12303701fbed7b3ba95c93cb,Karaoke
80c248dd5eb3,12303701fbed7b3ba95c93cb,Khu vực vui chơi trẻ em
80c248dd5eb3,12303701fbed7b3ba95c93cb,Nhà hàng - Ẩm thực
80c248dd5eb3,12303701fbed7b3ba95c93cb,Phòng tập thể dục
80c248dd5eb3,12303701fbed7b3ba95c93cb,Quán Bar
80c248dd5eb3,12303701fbed7b3ba95c93cb,Spa/Massage
80c248dd5eb3,12303701fbed7b3ba95c93cb,Thang máy
80c248dd5eb3,1262a571d0d2899a3171d41d,Bể bơi ngoài trời
80c248dd5eb3,1262a571d0d2899a3171d41d,Wifi miễn phí
80c248dd5eb3,1262a571d0d2899a3171d41d,Ăn sáng miễn phí
80c248dd5eb3,1262a571d0d2899a3171d41d,Chỗ đỗ xe
80c248dd5eb3,1262a571d0d2899a3171d41d,Dịch vụ trông trẻ
80c248dd5eb3,1262a571d0d2899a3171d41d,Dịch vụ hội họp
80c248dd5eb3,1262a571d0d2899a3171d41d,Giặt là quần áo
80c248dd5eb3,1262a571d0d2899a3171d41d,Karaoke
80c248dd5eb3,1262a571d0d2899a3171d41d,Khu vực vui chơi trẻ em
