route_id,origin_city,origin_code,dest_city,dest_code,departure_date,cabin_class,total_flights,min_price_vnd,max_price_vnd,avg_price_vnd,airlines_count,airlines_list,fastest_duration
DAD_PQC_PremiumEconomy_20260918,Da Nang,DAD,Phu Quoc Island,PQC,2026-09-18,PremiumEconomy,1,3376631,3376631,3376631,1,VietJet Air,1h 45m
DAD_PQC_Business_20260918,Da Nang,DAD,Phu Quoc Island,PQC,2026-09-18,Business,6,4487201,5979859,5187478,2,"Sun PhuQuoc Airways, Vietnam Airlines",1h 45m
DAD_HUI_Economy_20260918,Da Nang,DAD,Hue,HUI,2026-09-18,Economy,20,3906794,6765544,5912986,1,Vietnam Airlines,3h 50m
DAD_HUI_PremiumEconomy_20260918,Da Nang,DAD,Hue,HUI,2026-09-18,PremiumEconomy,20,9193901,15312878,10509052,1,Vietnam Airlines,4h 40m
DAD_HUI_Business_20260918,Da Nang,DAD,Hue,HUI,2026-09-18,Business,10,11059450,54923835,16816950,1,Vietnam Airlines,4h 40m
HAN_SGN_Economy_20260918,Hanoi,HAN,Ho Chi Minh City,SGN,2026-09-18,Economy,20,2201453,3129763,2626377,3,"VietJet Air, Sun PhuQuoc Airways, Vietravel Airlines",2h 10m
HAN_SGN_PremiumEconomy_20260918,Hanoi,HAN,Ho Chi Minh City,SGN,2026-09-18,PremiumEconomy,20,3369973,9761534,5673052,2,"VietJet Air, Sun PhuQuoc Airways",2h 10m
HAN_SGN_Business_20260918,Hanoi,HAN,Ho Chi Minh City,SGN,2026-09-18,Business,20,4903366,10485500,7572246,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",2h 15m
HAN_DAD_Economy_20260918,Hanoi,HAN,Da Nang,DAD,2026-09-18,Economy,20,1079691,2347627,1747163,5,"Sun PhuQuoc Airways, VietJet Air, Vietnam Airlines, Vietravel Airlines, Pacific Airlines",1h 25m
HAN_DAD_PremiumEconomy_20260918,Hanoi,HAN,Da Nang,DAD,2026-09-18,PremiumEconomy,10,2846956,5123743,3862278,1,VietJet Air,1h 20m
