property_id,overall_score,review_count,score_cleanliness,score_facilities,score_location,score_staff,score_value_for_money,count_exceptional,count_excellent,count_very_good,count_good,count_below_expectation,sample_customer_reviews
80114585,8.8,624,9.2,8.6,9.5,9.3,9.0,340,76,18,17,24,"[10.0/10] Nguyễn: ""What really stood out was the friendly and welcoming staff."" || [10.0/10] Chenyi: ""Their excellent service made our stay even more enjoyable."" || [10.0/10] Kirandeep: ""Even helped loading the bags in Grabcar when leaving."" || [10.0/10] Travis: ""The room was spotless, modern, and very comfortable."" || [10.0/10] Ngọc: ""What you experience is 4-5 star luxury service."" || [9.6/10] JAEJUN: ""The room was clean and renovated with modern facilities."" || [10.0/10] Risha: ""The room was clean, comfortable, and well-maintained."" || [10.0/10] SITI: ""Thank you so muchhh for the outstanding hospitality!"" || [10.0/10] JUNG: ""The best hotel located in the center of Le Thanh Ton"" || [8.4/10] Thang Long: ""The room is comfy and they also give free snacks m."""
85734134,8.2,368,8.5,8.4,8.8,8.9,8.7,172,25,14,11,32,"[10.0/10] Rowland: ""One of the best hotel experiences we’ve had as a group."" || [10.0/10] Garfield: ""I appreciated the attention to detail and warm hospitality."" || [10.0/10] Stacia : ""The room was spacious enough for one person and very clean."" || [10.0/10] Bergljót : ""The Room Was Spotless and Had a Really Comfortable Feel"" || [10.0/10] Alexia: ""The cleanliness of the room and common areas stood out."" || [10.0/10] Asger : ""The hotel was comfortable, quiet, and easy to navigate."" || [10.0/10] Lyndsay : ""The hotel offered excellent amenities and service."" || [10.0/10] Majed : ""The hotel was incredibly comfortable and ideal for couples."" || [10.0/10] Bastien: ""We expected a nice stay, but the team made it exceptional."" || [10.0/10] Khalid : ""The calm atmosphere allowed me to sleep well every night."""
85267969,8.9,301,9.5,8.6,9.5,9.2,8.8,143,21,7,9,8,"[10.0/10] Ph: ""The staff were professional, discreet, and always helpful."" || [10.0/10] CHUONG: ""The gym, swimming pool are also great facilities to have."" || [9.6/10] Sakila: ""The best part is the underground onsen and cold plunge!"" || [10.0/10] Alyssa: ""Breakfast had lots of choices and everything was fresh."" || [10.0/10] Autumn: ""The room itself was a great size and had a huge bed."" || [9.6/10] Darren: ""Very clean and spacious hotel, really good location as well!"" || [10.0/10] Ẩn danh: ""Nice Hotel! Highly recommended 👍 I’ll definitely be back!"" || [10.0/10] Yee: ""Great hotel with super spa and in room bathtub."" || [9.6/10] Moc: ""There was also a sofa bed, so everyone slept comfortably."" || [10.0/10] Shakilla: ""That level of warmth made a big difference to our stay."""
5869838,9.2,5240,9.3,9.1,9.5,9.5,9.2,3658,520,144,169,153,"[10.0/10] Nhi: ""Their genuine hospitality truly made my stay memorable."" || [10.0/10] Szu Pao: ""I stayed here so many times because this is very good hotel."" || [9.6/10] Trevor: ""The hotel is comfortable, clean and the staff are excellent."" || [9.6/10] Jared: ""The location is prime with amenities just a short walk away."" || [10.0/10] Jeffrey: ""The bell boy working with her, Mike is also very helpful..."" || [10.0/10] Denisa: ""Good location for our short visit in Ho Chi Minh( 1 night)."" || [10.0/10] 심: ""And the staff here are great esthetic Wy and Rin"" || [10.0/10] Joshua: ""My room was very clean and well maintained and beautiful."" || [10.0/10] Clément: ""The staff are truly welcoming and always willing to help."" || [10.0/10] Kazunari: ""The staff  so helpful whenever I needed them, Rin and Wy."""
13571664,9.0,21395,9.2,9.2,8.9,9.2,9.1,12927,2444,802,725,765,"[9.2/10] Josh: ""I could fault this hotel, every thing about it is amazing."" || [10.0/10] TING-AN: ""The location was perfect, and the facilities were excellent."" || [10.0/10] Hien: ""But the room was clean, beautiful, and comfortable overall."" || [10.0/10] Ellie: ""I spent my day at the roof top pool which was also 10/10"" || [10.0/10] Maria: ""The Hotel has an infinity pool with a fantastic view!"" || [10.0/10] Hans: ""The rooftop pool is hands down the best in the city."" || [10.0/10] Sophia: ""The staff are absolutely incredible and the food is amazing."" || [9.6/10] Leeann: ""Staff helped in every way and made our stay one to remember."" || [9.6/10] Alexandru: ""Very clean and modern rooms, and excelent service and staff."" || [10.0/10] Andi: ""Highly recommended, comfortable rooms, high servicequality!"""
60563235,8.6,189,8.7,8.3,9.0,8.9,8.7,97,31,5,11,9,"[10.0/10] Minh: ""Breakfast was included and had a good variety of options."" || [10.0/10] Sophie: ""The rooms were exceptionally clean and well maintained."" || [10.0/10] Bernadette: ""My room was spacious and immaculately clean."" || [9.2/10] Michael: ""The suite was spacious, clean, and very comfortable."" || [7.6/10] Margaret: ""Hotel is clean and neat , in a good location"" || [9.6/10] Eira: ""I love this Hotel, I love Ho Chi Minh City"" || [10.0/10] Luvis: ""The breakfast was delicious with a great variety of options."" || [10.0/10] John: ""I would definitely stay here again!"" || [9.2/10] Charlotte : ""Great location and a relaxing place to stay."" || [9.2/10] Keo: ""A really nice hotel with great service."""
36999606,8.4,1434,8.4,8.3,8.6,8.8,8.9,622,252,94,86,80,"[8.4/10] sinath: ""They were quite comfortable and it was nice and quiet."" || [7.6/10] Aung: ""That's the best dormitory I have ever stayed in SEA."" || [10.0/10] TAN: ""Never expected the room and facilities are so nice."" || [9.2/10] Htut Aung: ""It's perfect for backpackers — clean, comfy, and affordable."" || [10.0/10] Yuna: ""AS A FEMALE SOLO TRAVELLER THIS IS A GREAT STAY!"" || [10.0/10] Fithri: ""Will definitely recommend and come back here once again."" || [10.0/10] Lucia: ""Great location, quiet, comfy capsules, great facilities!"" || [8.8/10] John: ""I will definitely be returning in the future."" || [9.2/10] Brendon: ""Much prefer the privacy of a capsule to a bunk bed."" || [10.0/10] Daniel: ""It’s a new place so everything there is brand new and clean."""
31254730,8.9,2170,9.3,9.0,9.0,9.3,9.2,1082,225,67,63,46,"[10.0/10] Myra: ""It truly feels like home, thanks to its complete amenities."" || [9.2/10] Ken: ""Checkin was easy, they even let me checkin a bit early."" || [10.0/10] chan : ""The staff were very helpful and friendly throughout my stay."" || [10.0/10] Anthony: ""Overall I enjoyed my stay and will be staying there again."" || [9.6/10] Linn Su: ""The facilities provided in the room are quite impressive."" || [9.6/10] Iuliia: ""The room was clean, everything worked properly."" || [9.6/10] Anny: ""The staff and the energy of this place are what makes it!"" || [10.0/10] Terrance : ""A lot of value here for guests and I highly recommend it!"" || [10.0/10] Shanshan: ""Definitely will choose again when I back to Saigon again"" || [9.2/10] Jason: ""Amazing location, it really comes alive during the day."""
75304051,8.9,408,9.2,8.9,9.4,9.6,9.2,213,51,13,11,6,"[8.8/10] Ngoc: ""Khach san nho nhung co vi tri rat tien loi gan trung tam."" || [10.0/10] Stephen: ""Rooms are compact but well appointed and extremely clean."" || [10.0/10] Devin: ""The WiFi was fast enough for me to work without issues."" || [9.2/10] Lois Ann Iris: ""I had a wonderful stay here during my recent trip to HCMC."" || [10.0/10] Gemrose: ""Room was great, AC was cold, there even was a mini ref!"" || [10.0/10] Ma. Krizion: ""This is the kind of service that you will never forget."" || [9.6/10] Pimnipa: ""The room was nice, clean, and well-equipped."" || [10.0/10] sherlie: ""The room was clean, comfortable, and well-maintained."" || [10.0/10] Susan: ""He is friendly and efficient and enjoys helping us."" || [10.0/10] Sharvi: ""And everything felt easy and comfortable."""
93006841,8.9,20,9.3,9.0,9.0,9.1,9.4,15,0,1,1,1,"[9.2/10] Regina: ""We will be back"""
