property_id,hotel_name,default_name,property_type,accommodation_type,stars,is_luxury,address_line,area_name,area_id,city_name,city_id,country_name,postal_code,latitude,longitude,year_opened,number_of_rooms,number_of_floors,check_in_from,check_out_until,breakfast_charge,airport_transfer_fee,gold_circle_award_year,today_booking,booking_count_last_24h,recommendation_score,main_image_url
37189836,Angsana Ho Tram,Angsana Ho Tram,Hotel,Resort,5.0,False,"Coastal Road, Ong To Hamlet, Ho Tram Commune, Ho Chi Minh City, Vietnam",Ho Tram Beach,281119,Vung Tau,17190,Vietnam,78507,10.47018051147461,107.37674713134766,2023,102,2,15:00,12:00,355000 VND,2500000 VND,,Booked 4 times today,,,https://pix8.agoda.net/hotelImages/37189836/0/8795546c4f25248221f988ca85443ae6.jpg?ce=3&s=1024x768
39665334,IXORA Ho Tram by Fusion,IXORA Ho Tram by Fusion,Hotel,Hotel,5.0,True,"The Grand Ho Tram, Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City, Viet Nam",Ho Tram Beach,281119,Vung Tau,17190,Vietnam,790000,10.486485,107.45394,2023,196,11,16:00,12:00,442260 VND,,,Booked 6 times today,,,https://pix8.agoda.net/hotelImages/39665334/0/731b60a10033d57fabf8cd5afc7d0a4a.jpg?ce=3&s=1024x768
37854636,3H GRAND HOTEL,3H GRAND HOTEL,Hotel,Hotel,3.0,False,274 Phan Chu Trinh,Phường 2,20467,Vung Tau,17190,Vietnam,78000,10.330188751220703,107.08448791503906,2020,15,6,14:00,12:00,,,,Booked 4 times today,,,https://pix8.agoda.net/hotelImages/37854636/-1/74692a1c50318718dc8a45bdd0e2660c.jpg?ce=0&s=1024x768
255143,Green Hotel Vung Tau,Green Hotel Vung Tau,Hotel,Hotel,3.0,False,"147C Thuy Van Street, Bai Sau Beach, Vung Tau City",Thang Tam,80639,Vung Tau,17190,Vietnam,,10.337433815002441,107.09115600585938,,50,9,14:00,12:00,,83000 VND,,Booked twice today,,,https://pix8.agoda.net/hotelImages/255143/-1/615fb21fd65974209c1425fdf40dadcb.jpg?ce=0&s=1024x768
32179308,Mercury Hotel & Apartment,Mercury Hotel & Apartment,Hotel,Hotel,2.0,False,9 Trương Vĩnh K&#253;,Phường 1,62139,Vung Tau,17190,Vietnam,78000,10.3490496,107.0729067,,36,3,14:00,12:00,,,,,,,https://pix8.agoda.net/hotelImages/32179308/-1/b8e48926ad88407e4e29beea0c059646.jpg?ce=0&s=1024x768
31717323,Kim Minh Boutique - Luxury Hotel & Apartment,Kim Minh Boutique - Luxury Hotel & Apartment,Hotel,Hotel,0.0,False,"22 Ba Cu, Ward Vung Tau, Ho Chi Minh City",Phường 1,62139,Vung Tau,17190,Vietnam,900000,10.348957061767578,107.07568359375,2022,20,5,15:00,11:00,,,,Booked twice today,,,https://pix8.agoda.net/hotelImages/31717323/-1/ccbcadd01c835b7424366b6baa11bee4.jpg?ca=29&ce=0&s=1024x768
280768,P&T Hotel Vung Tau,P&T Hotel Vung Tau,Hotel,Hotel,3.0,False,158 Ha Long Street,Phường 2,20467,Vung Tau,17190,Vietnam,78000,10.341158866882324,107.07425689697266,2002,70,10,14:00,12:00,,,,,,,https://pix8.agoda.net/hotelImages/280768/-1/2308d753d6466a834f8658d8b7973fcd.jpg?ca=17&ce=1&s=1024x768
25773171,Holiday Inn Resort Ho Tram Beach By IHG,Holiday Inn Resort Ho Tram Beach By IHG,Hotel,Hotel,5.0,True,"The Grand Ho Tram, Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City, Viet Nam",Ho Tram Beach,281119,Vung Tau,17190,Vietnam,790000,10.48612,107.4562,2021,502,18,16:00,12:00,17 USD,,,Booked 4 times today,,,https://pix8.agoda.net/hotelImages/25773171/0/bdd45a0630eae5dd5d78fc0ede35ca69.jpg?ce=3&s=1024x768
11016,Petro House Vung Tau (Block B),Petro House Vung Tau (Block B),Hotel,Hotel,3.0,False,"63 Tran Hung Dao st., Ward 1",Phường 1,62139,Vung Tau,17190,Vietnam,,10.349211692810059,107.07501983642578,,48,2,14:00,12:00,100000 VND,1600000 VND,,Booked 6 times today,,,https://pix8.agoda.net/hotelImages/11016/0/5164c0e97515a623675a310a889182a2.jpg?ce=2&s=1024x768
52733341,The Signature Hoi An,The Signature Hoi An,Hotel,Hotel,5.0,True,21 La Hối,Minh An,57588,Hoi An,16552,Vietnam,560000,15.8756019310309,108.323626598723,2024,76,3,15:00,12:00,600000 VND,500000 VND,2024,Booked 5 times today,,,https://pix8.agoda.net/hotelImages/52733341/-1/68cb6816133d882e161cba040891a2af.jpg?ce=0&s=1024x768
