property_id,name,stars,accommodation_type,property_type,city,area,average_price_vnd,review_score,review_count,recommendation_score,customer_reviews,facilities,hotel_url,image_url
37712446,Rova Hotel Phú Quốc,3.0,34,Hotel,Phu Quoc Island,An Thoi,1532692,9.0,761,93,"[10.0/10] Sri (Malaysia, Family with young children): ""I love stay here !! The place the view the vibe so ohsem"" || [8.4/10] Nia devita (Indonesia, Solo traveler): ""Very good service, and I got a free room upgrade, thank you"" || [10.0/10] Akshay (India, Couple): ""Definitely recommended for this cute and beautiful place""",Free Wi-Fi ; Free parking; Restaurants; Shuttle service; Family room; Luggage storage; Breakfast; Taxi service,https://www.agoda.com/roma-hotel-phu-qu-c/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/37712446/0/4b146034b56b32b2493b0199af94bc7d.jpg?ce=3
85141652,Cosi Beach Hotel Phu Quoc,3.0,34,Hotel,Phu Quoc Island,Duong To,957880,8.4,63,83,"[10.0/10] Muhammad Faizan (Malaysia, Couple): ""It was amazing experience living in Cosi beach hotel."" || [8.8/10] Gene (Australia, Couple): ""The room was spacious and brand new with a large comfy bed."" || [10.0/10] Himanshu (India, Couple): ""And the breakfast was fresh and delicious every morning.""",Beach; Free Wi-Fi ; Pool with view; Free parking; Spa; Front desk [24-hour]; Restaurants; Bar,https://www.agoda.com/cosi-beach-hotel-phu-quoc/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/85141652/0/9c4c7f3818fc1c2b53fcb7874954f7a9.png?ce=3
48370,Mango Bay Resort,3.0,37,Hotel,Phu Quoc Island,Ong Lang,4954251,8.9,2382,93,"[9.6/10] Donna (Hong Kong SAR, China, Couple): ""Thank you to all the staff for making it such a lovely stay."" || [10.0/10] Duy (Vietnam, Couple): ""The sea view villa is such a healing and comfortable place."" || [8.4/10] Santanu (India, Couple): ""The spa space is serene, tranquil, beautifully done up.""",Private beach; Free Wi-Fi ; Free parking; Spa; Front desk [24-hour]; Restaurants; Bar; Water sports,https://www.agoda.com/mango-bay-resort/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/48370/-1/0051552c0b44b3e11856f2fa186dfc33.jpg?ca=18&ce=1
1157572,Novotel Phu Quoc Resort,5.0,34,Hotel,Phu Quoc Island,Duong To,4801430,8.7,5349,89,"[9.2/10] Geoff (United Kingdom, Couple): ""Great facilities, lovely grounds and very attentive staff."" || [8.0/10] Richard (South Korea, Family with young children): ""Great pools and buffet breakfasts  and close to the beach!"" || [8.0/10] Abdullah (Singapore, Family with young children): ""Breakfast was great, with a wide variety of options.""",Private beach; Free Wi-Fi ; Pool with view; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants,https://www.agoda.com/novotel-phu-quoc-resort/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/1157572/-1/ced5567d6bca72082cd0a0d0db027387.jpg?ca=18&ce=1
1147156,Cosy Bungalow,3.5,103,NonHotel,Phu Quoc Island,Duong Dong,620529,9.0,1194,98,"[10.0/10] joanne (United Kingdom, Couple): ""It’s in a fantastic location and the staff are so friendly."" || [10.0/10] joanne (United Kingdom, Couple): ""The bungalow is air conditioned ,  clean and spacious."" || [10.0/10] Ryan (Vietnam, Solo traveler): ""The WIFI very reliable as I needed to work everyday.""",Free Wi-Fi ; Free parking; Front desk [24-hour]; Airport transfer; Family room; Shared kitchen; Luggage storage; Garden,https://www.agoda.com/cosy-bungalow/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/114/1147156/1147156_17090717560056120258.jpg?ca=6&ce=1
87341728,MeySunset Hotel Phu Quoc,3.0,34,Hotel,Phu Quoc Island,An Thoi,,9.8,2,,,Private beach; Free Wi-Fi ; Pool with view; Free parking; Front desk [24-hour]; Fitness center; Restaurants; Bar,https://www.agoda.com/meysunset-hotel-phu-quoc/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/87341728/0/a8357b60b5fe82e2507e0880a21a3e31.jpg?ce=3
1266957,SOL By Melia Phu Quoc,5.0,34,Hotel,Phu Quoc Island,Duong To,3471661,8.5,4297,86,"[10.0/10] Reuben (Vietnam, Couple): ""Room and service was of great quality and comfort."" || [10.0/10] James (Singapore, Family with older children): ""Security manager Jack Pham is very impressive, professional."" || [10.0/10] Stephanie (Vietnam, Couple): ""The breakfast buffet is delicious and has so many options!""",Beach; Free Wi-Fi ; Swimming pool; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants,https://www.agoda.com/sol-beach-house-phu-quoc_2/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/1266957/-1/b0ec3a1ca09f39bae2b4725f6b0c967b.jpg?ca=7&ce=1
51082457,HAN Lagoon Sunset Hotel,4.0,34,Hotel,Phu Quoc Island,An Thoi,1424119,9.1,683,,"[10.0/10] Venus (Philippines, Solo traveler): ""I would definitely stay here again when I visit Phu Quoc."" || [10.0/10] malvika (Qatar, Couple): ""The location was perfect and the facilities well-maintained."" || [9.6/10] Paper (Thailand, Couple): ""We highly recommend this hotel and hope to return soon!""",Free Wi-Fi ; Car park; Front desk [24-hour]; Airport transfer; Check-in/out [private]; Laundry; Non-smoking rooms; Daily housekeeping,https://www.agoda.com/sweet-home-resort-spa_3/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/51082457/0/32e3829e2e0208f166ae391ec525f7c0.png?ce=2
9612717,Sunset Beach Resort & Spa - Beachfront Pirate Fire Show ,4.0,37,Hotel,Phu Quoc Island,Duong Dong,2904452,8.9,3429,90,"[10.0/10] Haris (India, Couple): ""The room itself was spacious, clean, and very comfortable."" || [10.0/10] MONICA (United States, Couple): ""The beachfront location here is unbeatable for sunset views."" || [10.0/10] Qian (台灣, Couple): ""The service staff is also very friendly.""",Private beach; Free Wi-Fi ; Swimming pool; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants,https://www.agoda.com/sunset-beach-resort-and-spa/hotel/phu-quoc-island-vn.html,https://q-xx.bstatic.com/xdata/images/hotel/max500/885915314.jpg?k=11385b5a6a886f2549a909c86f988366f223e2b038fa820577a3596edeecf052&o=
296330,Arcadia Phu Quoc - Bungalow Beach,3.0,37,Hotel,Phu Quoc Island,Duong Dong,1192328,7.2,2625,,"[8.0/10] William (United States, Family with older children): ""The value and location (right on the beach) are unbeatable!"" || [9.6/10] Jack (Vietnam, Solo traveler): ""Room was great can’t complain about anything with it."" || [10.0/10] Riad (Malaysia, Solo traveler): ""Great location surrounded with coll eateries and bar""",Private beach; Free Wi-Fi ; Free parking; Spa; Front desk [24-hour]; Restaurants; Happy hour; Water sports,https://www.agoda.com/arcadia-phu-quoc-resort/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/296330/0/1a257284d2b9b669b7008fc756136fa1.jpg?ce=3
87869906,Sensea AT 104 Apartment An Thoi Central,3.0,120,Hotel,Phu Quoc Island,An Thoi,,9.7,8,,"[10.0/10] HAN (China, Solo traveler): ""I feel really lucky to have stayed at this apartment.""",Free Wi-Fi ; Free parking; Airport transfer; Luggage storage; Balcony/terrace; Breakfast takeaway service; Room service; Salon,https://www.agoda.com/sensea-at-104-apartment-an-thoi-central-h87869906/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/87869906/0/235c5ab43b66e3645d60779b1380d11e.jpg?ce=3
1158643,Tropicana Resort Phu Quoc,3.5,37,Hotel,Phu Quoc Island,Duong Dong,2674028,8.4,2527,87,"[8.0/10] Văn (Vietnam, Couple): ""The staff were friendly and the housekeeping was top-notch."" || [9.6/10] Jessica (Australia, Family with young children): ""I was pleasantly surprised when they upgraded our room."" || [10.0/10] Andy (United Kingdom, Couple): ""Direct access to the most popular part of long beach.""",Private beach; Free Wi-Fi ; Pool with view; Free parking; Spa; Front desk [24-hour]; Fitness center; Restaurants,https://www.agoda.com/tropicana-resort-phu-quoc/hotel/phu-quoc-island-vn.html,https://pix8.agoda.net/hotelImages/115/1158643/1158643_16091616240046550274.jpg?ca=6&ce=1
83129371,Bailey Hotel Hue,0.0,34,Hotel,Hue,Hue City,799752,8.9,497,91,"[10.0/10] Tom (Germany, Couple): ""The pool was very nicely done and breakfast was excellent."" || [10.0/10] Kim (United States, Couple): ""Rooms very clean and quiet at night to rest from tours."" || [10.0/10] Tun (Singapore, Family with young children): ""- Wide, clean, nice family room with Netfix (60"" TV)""",Free Wi-Fi ; Pool with view; Free parking; Front desk [24-hour]; Restaurants; Airport transfer; Family room; Kitchen,https://www.agoda.com/bailey-hotel-hue/hotel/huong-tra-vn.html,https://pix8.agoda.net/hotelImages/83129371/0/3829ca56a50436914c8e8feacb1d1892.jpg?ce=3
64861936,1995S Hostel,5.0,34,Hotel,Hue,Hue City,1437705,9.0,207,95,"[9.6/10] Hannah (United Kingdom, Solo traveler): ""Lovely shower and perfect location to explore Hue."" || [9.6/10] Hannah (United Kingdom, Solo traveler): ""Stunning private room and very comfy bed."" || [10.0/10] Anselm (Malaysia, Solo traveler): ""Very clean room and nicely designed.""",Free Wi-Fi ; Front desk [24-hour]; Bar; Massage; Airport transfer; Family room; Shared kitchen; Luggage storage,https://www.agoda.com/1995s-hostel/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/64861936/0/1127fd7bb1465bcb461882c7330dd485.jpg?ce=0
30095600,Hachi Homestay Spa,5.0,108,NonHotel,Hue,Perfume River,1187633,8.6,295,89,"[9.6/10] Eleonora (Italia, Couple): ""Overall, the staff were extremely warm and hospitable."" || [10.0/10] Shariz (Philippines, Couple): ""We had the garden view where we can also see the sunset."" || [9.2/10] Gaia (Vietnam, Solo traveler): ""Highly recommend if you’re looking for a quiet peaceful stay""",Free Wi-Fi ; Swimming pool; Free parking; Check-in [24-hour]; Massage; Airport transfer; Family room; Shared kitchen,https://www.agoda.com/hachi-homestay-spa/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/30095600/-1/114548e4d716731c678332fd6a46ef2d.jpg?ca=27&ce=0
5663891,Melia Vinpearl Hue,5.0,34,Hotel,Hue,Hue City,3841913,9.4,9563,93,"[9.6/10] Angela (Australia, Couple): ""One of if not the best hotel we have ever stayed in"" || [10.0/10] TAEYOUNG (대한민국, Couple): ""Other staffs also served very professionally on my requests."" || [10.0/10] Kyle (Australia, Solo traveler): ""The staff always had great attitudes and were eager to help.""",Free Wi-Fi ; Swimming pool; Car park; Spa; Front desk [24-hour]; Fitness center; Restaurants; Bar,https://www.agoda.com/vinpearl-hotel-hue/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/5663891/-1/c70525022b7d06c2b56fdf6d14689357.jpg?ce=0
